VRM,match_sold_price
AV14XEG,6671
OE17OMV,15450
YD15XPE,9450
KS64GZE,12450
DS61XVK,8200
YY66ZTG,10249
LO62OHY,4500
SH66LWK,11995
VE61CWW,6500
EO63GWC,4995
LC18FCN,10999
KY66WLU,11499
CJ17RMO,7966
MW64FTP,8825
MF09UTK,1250
KN14RGZ,5499
YB15UYW,11995
LB62NKZ,7250
BU15OSR,34300
PO63GJU,8701
PK64YWV,9650
HY63TYT,7499
GU15MXO,5902
DL13WRE,3750
HV66WME,10750
DN15JDZ,6350
WD14DMV,7450
MV16PXD,20398.8
OE61NFO,10450
DW17CUG,13850
JXZ9131,8899
FT13WFV,7395
AU65UJD,6950
HG67PZD,7650
YE65WVN,15450
LB64EHF,20450
EO16NWR,7000
RX17ORZ,12262
FN66ZBX,7400
FV13VSE,7301
PK62CWJ,10795
SB63WBX,9365
MM16YPF,7577
PO17XEZ,12450
LC65TDO,11339
HJ05YWH,150
LM12JYX,1000
WG10CGZ,1000
AO12FDM,6990
BG65VDA,10250
DG65GWU,17689
HX16LTJ,7500
LS14VUB,11700
YX15UCV,6899
MT16OAG,7750
HN10EVY,400
GN64WHR,4050
VF17RCY,12850
VO18YNC,11682
YK66ZNN,8495
FN14CEA,9850
DD08ODO,15250
DN65TVW,6250
YH12RFO,7350
YY66ZFD,11289
BG05PNN,300
WF05KCC,1500
CU65RBZ,6799
AO14LNJ,7299
LJ13WBF,11681
GK12UPS,14999
AE13XFW,11593
LK65SVO,9950
CV15OSE,5995
LD65KUF,8901
GX13GAA,10450
JM05GDM,13250
YB18EOM,13200
MS04KAZ,3200
GV08VVB,1075
YA14RYR,14699
BJ67XNY,15649
VA66JJX,8750
LM64BXL,6750
CN61MEG,5995
GJ67ZWX,11799
DS14XUY,6899
YK15UDM,11899
LG68SFE,15407
LP14CVD,9133.83
YA13LJK,9995
NG13ZLO,7299
YA16HVB,11950
SA16TCM,15750
RF66ULC,12399
LB66DHZ,8250
YL16VAK,14599
EY14GXO,7795
HS16NJV,7740
EF17UOV,7995
EK16MTV,17450
CP16HGK,11127
DL66CRX,12640
A14WJD,6995
YH13XUV,12950
KN66ZDW,9701
KU18VEP,9999
RE64PNF,10701
GF16WHP,17599
DU62CXW,1600
NJ62NVG,3800
B8LDP,9700
AJ66PZL,9999
RJ65GXH,11550
BT13UNH,11811
ML63DHA,11189
GX64LEJ,9351
RV15GKP,9499
KX15VGP,9995
OU66MPZ,5999
RX16VCO,10313
PN13AVX,7995
VU13LSO,7881
WN15MXO,11990
RA66AXP,15899
BG65XPN,10495
GC15ODT,10899
LA12AHC,9299
RO14HXF,9999
AO15ZXC,14450
OU14OFM,9850
HY66CWE,11441
HD58KZC,6995
EK14FLF,10500
KX15WTL,11999
BN14RXZ,7600
SM64XUU,10707
BP62PJJ,4649
LM17OSA,10699
GV11LZT,1150
MA17OTW,10850
BL12NLG,7495
MW11HDN,1325
LL12SPV,5600
RK65RHA,9289
HK64BWP,7305
HK65XMH,5950
AF67PFU,10999
HN59AUU,600
HK12AHA,800
EJ65YJT,9050
LM16KEK,11986
FE13YGT,9557
KV64AVM,10500
PE16AOH,24950
DA63EFN,6335
AJ12CWN,6261
KT15FVB,6750
MT64NKR,6151
EO63EGF,6150
YK66LVT,10450
WU65GPO,10999
LY16TWN,5495
FE65GKZ,7617
KP62KTT,900
FJ63WCF,4495
KE65NUV,13999
LT08XJW,500
BD14FZJ,6534
MD16AUR,12450
EO61WCN,7346
YM14FGN,10450
VO12ONK,4999
YD57PPX,3500
RK13CVU,9571
LD64JUX,8995
ST13PZB,15499
HN17FPC,10499
WP64CNJ,11886
WK16HJJ,9274
WM12KXS,7600
YC64VBO,12999
FT14HUK,11171
GD15NLO,13689
YR63HDD,4595
AU13ZVY,8950
RE15MBV,15999
YB55TRZ,200
OV04LXU,300
GU14GYR,8450
FH64XRP,12799
GU14WCX,7350
LF15AZP,8321
AF15DXE,11207
BD14LBL,9450
WF17HJG,8999
CU06KXY,900
CU60RDX,5500
HK60BVD,2600
YL15VNC,11450
DT65FSS,3600
FT12SRV,700
BG64DAU,6621
CP16VTC,10999
SE66ZMZ,27270
M11CLK,600
YH08DKK,500
HK13NGE,808
YD63ELX,2100
HV09NWX,1500
RV14XFO,10129
LC10RZV,3000
YK63RZY,13500
LC62VJX,8150
YE16STZ,15580
PN12WUU,2000
HV66DLF,15999
DL13KGZ,250
KR66YMY,10188
WN62OGC,16902
KP13OCV,3550
DG66ECN,11116
KS15OUP,12351
DX14VHV,5800
KW17FRF,13414
OY14HWH,9999
CK69CCD,8836
HJ15EJG,11465
LL66YWF,13695
HN16EOY,26696
BK65CVX,12401
V22JWH,12385
RV14XFO,10129
BG64BLV,6407
FH12AHX,17650
G19WAS,10406
WM13JLV,9899
GF65PXH,13344
BC17HLA,13375
LK66ZSP,8900
WV63AZB,7250
MW62UAP,7450
VU14FJE,14366
AP65CVS,11189
EF12XCW,13601
PJ15NVZ,7999
HK13HYP,8056
NJ63WNA,10168
BG61AFV,7899
HJ14UWL,12588
LS66DRV,16500
FP14XCS,3750
DA65KHO,8450
BG13HVX,6634
GGZ9934,12091
YE63JCY,13450
OY13XHE,7350
BU07YUW,1000
LG17VUS,12650
AP15GYB,15050
GJ60TCO,4000
EU65TWV,6617
HN12BVT,1000
PX11UNF,1900
YD14WXR,12665
YX16NND,9389
RV67ZZS,9988
RJ63FWV,12279
WJ64ZNX,9865
BU64HBJ,10250
BN68MHJ,10995
HN16GVE,10476
DG16YJW,9650
YT14DAU,11616
HT17MYC,9624
LL66LCW,8995
CN66MVC,9496
WFZ7201,7302
MT14ARF,7168
GK13XFJ,10193
OY15OPL,11171
YB15UVY,7905
KN14NWE,9500
YA13EJX,11163
LL14FUE,11266
