DID,DateofSale,VRM,Make,Model,PostCode,Sold Price,Prep Cost,Chassis Margin,Value added Products,Finance Comission,Delivered
10028897,03/06/2021,AV14XEG,HYUNDAI,IX35 SE CRDI Estate,SO249PT,6671,520,1059.1667,600,0,06/07/2021
13281,12/06/2021,OE17OMV,Skoda,Superb Sportline Tsi Dsg,OX181DE,15450,520,2477.5,0,0,13/07/2021
13281,20/06/2021,YD15XPE,Bmw,1 Series 118D Se,BH191HZ,9450,520,1500,0,0,03/07/2021
10028897,20/06/2021,KS64GZE,Bmw,5 Series 520D Luxury Touring,PO138NU,12450,520,1098.8333,750,0,01/07/2021
10028897,20/06/2021,DS61XVK,Mini,Countryman Cooper D,TA66DH,8200,520,1444.1667,698,0,22/07/2021
13281,22/06/2021,YY66ZTG,Volvo,V40 D2 R-Design Nav Plus,TN222DE,10249,520,1664.1667,0,0,06/07/2021
10028897,24/06/2021,LO62OHY,Vauxhall,Astra Active,PO130ZJ,4500,520,1309.1667,0,230.13,10/07/2021
10028897,26/06/2021,SH66LWK,Honda,Hr-V I-Vtec S,PO167AJ,11995,520,1370.8333,0,293.14,22/07/2021
13281,27/06/2021,VE61CWW,Audi,A1 Tdi Competition Line,SS09FR,6500,520,1485.8333,0,0,21/07/2021
13281,27/06/2021,EO63GWC,Hyundai,I30 Classic,PO93PY,4995,520,1246.6667,0,0,05/07/2021
10028897,27/06/2021,LC18FCN,Renault,Megane Dynamique S Nav Tce,E82AN,10999,520,1832.5,0,314.96,03/07/2021
13281,28/06/2021,KY66WLU,Seat,Alhambra Tdi Ecomotive Se,DT83JQ,11499,520,2040.8333,300,0,03/07/2021
10028897,29/06/2021,CJ17RMO,Seat,Ibiza Tsi Se,RG425JW,7966,520,1307.5,0,0,06/07/2021
10028897,29/06/2021,MW64FTP,Skoda,Yeti S Tsi Dsg,BS31DG,8825,520,1687.5,0,0,16/07/2021
13281,01/07/2021,KN14RGZ,Citroen,Ds4 E-Hdi Airdream Dstyle,TR85EG,5499,520,42.5,0,0,10/07/2021
10024975,01/07/2021,YB15UYW,Audi,A3 Tfsi Se,BH65JA,11995,520,1088.3333,300,0,19/07/2021
10024975,01/07/2021,LB62NKZ,Volkswagen,Golf S Tsi Bluemotion Technology,PO40EJ,7250,520,1485.8333,600,0,16/07/2021
10024975,01/07/2021,BU15OSR,Land Rover,Range Rover Sport Sdv6 Autobiography Dynamic,BS247ED,34300,520,2333.3333,400,1190.94,13/07/2021
10028897,01/07/2021,PO63GJU,Mercedes,A-Class A180 Cdi Blueefficiency Sport,SO164RA,8701,520,1412.5,250,0,01/07/2021
13281,01/07/2021,PK64YWV,Volkswagen,Golf Match Tdi Bluemotion Technology Dsg,B459YP,9650,520,1926.6667,999,0,05/07/2021
10028897,01/07/2021,HY63TYT,Kia,Sportage Crdi 2,PO196XN,7499,520,1665.8333,0,277.56,16/07/2021
10028897,01/07/2021,GU15MXO,Volkswagen,Polo Se,DT102DW,5902,520,1668.3333,0,0,17/07/2021
10024975,01/07/2021,DL13WRE,Suzuki,Splash Sz2,BS217YB,3750,520,1360.8333,200,186,07/07/2021
13281,02/07/2021,HV66WME,Renault,Kadjar Dynamique S Nav Dci,PO200FF,10750,520,2243,999,0,09/07/2021
10024975,02/07/2021,DN15JDZ,Vauxhall,Corsa Excite Ac Ecoflex,DT65EY,6350,520,1458.3333,400,118.97,07/07/2021
13281,02/07/2021,WD14DMV,Audi,A3 Tdi Sport,SO153DJ,7450,520,2000,0,0,19/07/2021
13281,02/07/2021,MV16PXD,Ford,Transit Custom 270 Limited Lr P/V,B618NT,20398.8,520,1797,1450,0,11/07/2021
